logical_path,sources,sha256,size_bytes,format,duration_seconds,manifest,product_usage,selection
public/audio/a1/bilan/annonce-gare-complete.m4a,external-francais-b1-audio-humanisation;external-francais-b1-diagnostic-progress;external-francais-b1-final-launch;external-francais-b1-launch-polish;external-francais-b1-positioning;external-francais-b1-release-candidate;external-francais-b1-v1-polish;internal-francais-b1-a1-audio2;internal-francais-b1-integration-a1a2b1;internal-francais-b1-positioning;internal-francais-b1-product-integration;internal-francais-b1-v1-polish;main,40c9053f69f59684cf78c8942d19d6fbe1f289abfb6cce727902b00a0699912a,151889,m4a,20.785,lib/pedagogy/audio/a1/manifest.ts,referenced,selected-final-launch
public/audio/a1/bilan/conversation-nouvelle-vie.m4a,internal-francais-b1-a1-audio,6c1f4a8909c559fd3bd3a4c2f9f24e55f405fa862747df309abd5172b4d389dc,229656,m4a,55.517,lib/pedagogy/audio/a1/manifest.ts,referenced,retained-in-recovery-only
public/audio/a1/bilan/conversation-nouvelle-vie.m4a,external-francais-b1-audio-humanisation;external-francais-b1-diagnostic-progress;external-francais-b1-final-launch;external-francais-b1-launch-polish;external-francais-b1-positioning;external-francais-b1-release-candidate;external-francais-b1-v1-polish;internal-francais-b1-a1-audio2;internal-francais-b1-integration-a1a2b1;internal-francais-b1-positioning;internal-francais-b1-product-integration;internal-francais-b1-v1-polish;main,b2f108d3e70c6415162e7c6fd460f211885d9001d257309ca923a14be9ddf277,229656,m4a,55.517,lib/pedagogy/audio/a1/manifest.ts,referenced,selected-final-launch
public/audio/a1/bilan/dialogue-agence-voyage.m4a,internal-francais-b1-a1-audio,2d04b9f38440248b389288e5f5293ed28a24d31f1e86371cd92cddf8f175b730,171637,m4a,41.068,lib/pedagogy/audio/a1/manifest.ts,referenced,retained-in-recovery-only
public/audio/a1/bilan/dialogue-agence-voyage.m4a,external-francais-b1-audio-humanisation;external-francais-b1-diagnostic-progress;external-francais-b1-final-launch;external-francais-b1-launch-polish;external-francais-b1-positioning;external-francais-b1-release-candidate;external-francais-b1-v1-polish;internal-francais-b1-integration-a1a2b1;internal-francais-b1-positioning;internal-francais-b1-product-integration;internal-francais-b1-v1-polish;main,a676d3ddcf3a69402ee6de22f44a580e7e6af98a6a56927777340fc1f262f164,171637,m4a,41.068,lib/pedagogy/audio/a1/manifest.ts,referenced,selected-final-launch
public/audio/a1/bilan/message-nouvel-appartement.m4a,external-francais-b1-audio-humanisation;external-francais-b1-diagnostic-progress;external-francais-b1-final-launch;external-francais-b1-launch-polish;external-francais-b1-positioning;external-francais-b1-release-candidate;external-francais-b1-v1-polish;internal-francais-b1-integration-a1a2b1;internal-francais-b1-positioning;internal-francais-b1-product-integration;internal-francais-b1-v1-polish;main,25ab97fc2b43627f5969e558b695e934e3a19265acbd82b0afde34b8c089a39e,119491,m4a,26.721,lib/pedagogy/audio/a1/manifest.ts,referenced,selected-final-launch
public/audio/a1/cafe-restaurant/addition.m4a,external-francais-b1-audio-humanisation;external-francais-b1-diagnostic-progress;external-francais-b1-final-launch;external-francais-b1-launch-polish;external-francais-b1-positioning;external-francais-b1-release-candidate;external-francais-b1-v1-polish;internal-francais-b1-a1-audio2;internal-francais-b1-integration-a1a2b1;internal-francais-b1-positioning;internal-francais-b1-product-integration;internal-francais-b1-v1-polish;main,c89f9af7d351c9dd2e98ca80db357909f28a58bedd56957ec5cfdf613393e372,80391,m4a,17.294,lib/pedagogy/audio/a1/manifest.ts,referenced,selected-final-launch
public/audio/a1/cafe-restaurant/addition.m4a,internal-francais-b1-a1-audio,f88a6d242fbea0a00570016ab9e786c8a9015405f6034555c8718f7803eb383c,80391,m4a,17.294,lib/pedagogy/audio/a1/manifest.ts,referenced,retained-in-recovery-only
public/audio/a1/cafe-restaurant/commande-simple.m4a,external-francais-b1-audio-humanisation;external-francais-b1-final-launch,14f4856384ca6dfa27f1ca81552edac5c6761fc50b77a0d863b8e490fcd726da,37268,m4a,7.512,lib/pedagogy/audio/a1/manifest.ts,referenced,selected-final-launch
public/audio/a1/cafe-restaurant/commande-simple.m4a,external-francais-b1-diagnostic-progress;external-francais-b1-launch-polish;external-francais-b1-positioning;external-francais-b1-release-candidate;external-francais-b1-v1-polish;internal-francais-b1-a1-audio2;internal-francais-b1-positioning;internal-francais-b1-product-integration;internal-francais-b1-v1-polish;main,db103fd889c137d7b9f42fb7ae3e07e38fcfd159644fd508792a8ec8c3e61380,39543,m4a,7.838,lib/pedagogy/audio/a1/manifest.ts,referenced,retained-in-recovery-only
